"","Date","stock","value","change"
"279",2007-03-23,"AAPL",12.372553,2.4914421461763
"280",2007-03-23,"GSPC",1436.109985,0.0967902886630197
"281",2007-03-26,"MSFT",22.713746,-1.77179492981915
"282",2007-03-26,"IBM",78.875893,-0.284207241875535
"283",2007-03-26,"SBUX",14.637782,-0.719876822868379
"284",2007-03-26,"AAPL",12.680808,-0.406882589816043
"285",2007-03-26,"GSPC",1437.5,-0.618435826086953
"286",2007-03-27,"MSFT",22.311305,-0.288598089623173
"287",2007-03-27,"IBM",78.651722,-0.496148069078519
"288",2007-03-27,"SBUX",14.532408,-1.38713419001173
"289",2007-03-27,"AAPL",12.629212,-2.32558452578039
"290",2007-03-27,"GSPC",1428.609985,-0.796578850735107
"291",2007-03-28,"MSFT",22.246915,0.397974280928384
"292",2007-03-28,"IBM",78.261493,0.328874380150137
"293",2007-03-28,"SBUX",14.330824,0.159844262967712
"294",2007-03-28,"AAPL",12.335509,0.546981887816706
"295",2007-03-28,"GSPC",1417.22998,0.373972402136169
"296",2007-03-29,"MSFT",22.335452,0.432433603761404
"297",2007-03-29,"IBM",78.518875,-0.327796341962353
"298",2007-03-29,"SBUX",14.353731,0.0957590747659972
"299",2007-03-29,"AAPL",12.402982,-0.896010330418923
"300",2007-03-29,"GSPC",1422.530029,-0.117399560357538
"301",2007-03-30,"MSFT",22.432038,-0.466453382434526
"302",2007-03-30,"IBM",78.261493,1.00784686026881
"303",2007-03-30,"SBUX",14.367476,-0.35077142289989
"304",2007-03-30,"AAPL",12.29185,0.796478967771324
"305",2007-03-30,"GSPC",1420.859985,0.259706377754026
"306",2007-04-02,"MSFT",22.327403,0.468639366611505
"307",2007-04-02,"IBM",79.050249,0.934775044162111
"308",2007-04-02,"SBUX",14.317079,0.768005820181619
"309",2007-04-02,"AAPL",12.389752,0.907629143827902
"310",2007-04-02,"GSPC",1424.550049,0.92801028712751
"311",2007-04-03,"MSFT",22.432038,2.26049456585265
"312",2007-04-03,"IBM",79.789191,0.114465379151415
"313",2007-04-03,"SBUX",14.427035,-0.476341812437547
